"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"38","2026-08-13T09:42:06.7412736Z","commit_begin","csv_replace","最小参考资料库/source-screening.csv","b4d12751bc347739b415feb2349d56297920a0cd2deab9887cb0c7b5a9377823","registered_before_move;candidate=dde05c0fd0557d945309ec11b782a14d6df56f74fb69604ea4a6bcc4dc2674b6"
"39","2026-08-13T09:42:06.7702317Z","commit_complete","csv_replace","最小参考资料库/source-screening.csv","dde05c0fd0557d945309ec11b782a14d6df56f74fb69604ea4a6bcc4dc2674b6","commit_index=19"
"40","2026-08-13T09:42:06.7742327Z","commit_begin","csv_replace","最小参考资料库/source-selected-roles.csv","5974d3615274baf78482815586f0fed10da3639532b7e8ba681a16ac59af2c57","registered_before_move;candidate=1b7d95871586b874b076863f64f5e5a2e276a70a565bbe199d7ac0b69c7bb262"
"41","2026-08-13T09:42:06.8045682Z","commit_complete","csv_replace","最小参考资料库/source-selected-roles.csv","1b7d95871586b874b076863f64f5e5a2e276a70a565bbe199d7ac0b69c7bb262","commit_index=20"
"42","2026-08-13T09:42:06.8094225Z","commit_begin","payload_copy","资料卡/AMD/封装/AMD_Instinct_MI455X_模组资料卡.md","","registered_before_copy;expected=bb864ff8cddd2ef004883476ab0024b1c57234ebd278e94860b05421b97b185b"
"43","2026-08-13T09:42:06.8284433Z","commit_complete","payload_copy","资料卡/AMD/封装/AMD_Instinct_MI455X_模组资料卡.md","bb864ff8cddd2ef004883476ab0024b1c57234ebd278e94860b05421b97b185b","commit_index=1"
"44","2026-08-13T09:42:06.8327884Z","commit_begin","payload_copy","最小参考资料库/快照/AMD/MI455X/2026-08-13/amd-instinct-mi455x-2026-08-13.html","","registered_before_copy;expected=2fa27618862c42b0b9e6eed2e5c88c360e6eac2650d9fc97bae08c6338315b47"
"45","2026-08-13T09:42:06.9855586Z","commit_complete","payload_copy","最小参考资料库/快照/AMD/MI455X/2026-08-13/amd-instinct-mi455x-2026-08-13.html","2fa27618862c42b0b9e6eed2e5c88c360e6eac2650d9fc97bae08c6338315b47","commit_index=2"
"46","2026-08-13T09:42:06.9885567Z","commit_begin","payload_copy","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI455X_GPU_Brochure.pdf","","registered_before_copy;expected=6555fef1399a35f472e325dc61936d293e129735ec1e191d5fd0f3b6fa0c4208"
"47","2026-08-13T09:42:07.0203761Z","commit_complete","payload_copy","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI455X_GPU_Brochure.pdf","6555fef1399a35f472e325dc61936d293e129735ec1e191d5fd0f3b6fa0c4208","commit_index=3"
"48","2026-08-13T09:42:07.0223831Z","commit_begin","payload_copy","资料卡/AMD/产品/AMD_Instinct_MI350P_PCIe_卡资料卡.md","","registered_before_copy;expected=53458fc9a9662a1c17230fddb067e4365ad4b3f2f7755d072d674ffeface3b36"
"49","2026-08-13T09:42:07.0464142Z","commit_complete","payload_copy","资料卡/AMD/产品/AMD_Instinct_MI350P_PCIe_卡资料卡.md","53458fc9a9662a1c17230fddb067e4365ad4b3f2f7755d072d674ffeface3b36","commit_index=4"
"50","2026-08-13T09:42:07.0484152Z","commit_begin","payload_copy","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-instinct-mi350p-pcie-2026-08-13.html","","registered_before_copy;expected=09b3ffd469353dfb2456fc2fca67b421aa8bf5ae48be809fa64f1a30dda3c088"
"51","2026-08-13T09:42:07.1787540Z","commit_complete","payload_copy","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-instinct-mi350p-pcie-2026-08-13.html","09b3ffd469353dfb2456fc2fca67b421aa8bf5ae48be809fa64f1a30dda3c088","commit_index=5"
"52","2026-08-13T09:42:07.1797505Z","commit_begin","payload_copy","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI350P_PCIe_Card_Brochure.pdf","","registered_before_copy;expected=a4e93edffc6c2a03668eef72b84d85e1d2586afb331c2228595d1549609afb29"
"53","2026-08-13T09:42:07.2086136Z","commit_complete","payload_copy","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI350P_PCIe_Card_Brochure.pdf","a4e93edffc6c2a03668eef72b84d85e1d2586afb331c2228595d1549609afb29","commit_index=6"
"54","2026-08-13T09:42:07.2106135Z","commit_begin","payload_copy","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-mi350p-pcie-blog-2026-08-13.html","","registered_before_copy;expected=2bc9cbb81e424e4d1c5d6912b43e7cfb1107081f159b012d8ad9cffd3b66dfb8"
"55","2026-08-13T09:42:07.3587784Z","commit_complete","payload_copy","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-mi350p-pcie-blog-2026-08-13.html","2bc9cbb81e424e4d1c5d6912b43e7cfb1107081f159b012d8ad9cffd3b66dfb8","commit_index=7"
"56","2026-08-13T09:42:07.3629054Z","commit_begin","payload_copy","资料卡/华为昇腾/封装/华为_Ascend950_共享裸片资料卡.md","","registered_before_copy;expected=a291d3ce26c0f8958454eb9917ec742ef8fb51f39a1204c052c759baf89220c9"
"57","2026-08-13T09:42:07.3745175Z","commit_complete","payload_copy","资料卡/华为昇腾/封装/华为_Ascend950_共享裸片资料卡.md","a291d3ce26c0f8958454eb9917ec742ef8fb51f39a1204c052c759baf89220c9","commit_index=8"
"58","2026-08-13T09:42:07.3833140Z","commit_begin","payload_copy","资料卡/华为昇腾/封装/华为_Ascend950PR_封装资料卡.md","","registered_before_copy;expected=06c18287b35958d51492a6c55e170cc891aa0b005c4ddb4850b7144832940b66"
"59","2026-08-13T09:42:07.4000787Z","commit_complete","payload_copy","资料卡/华为昇腾/封装/华为_Ascend950PR_封装资料卡.md","06c18287b35958d51492a6c55e170cc891aa0b005c4ddb4850b7144832940b66","commit_index=9"
"60","2026-08-13T09:42:07.4112519Z","commit_begin","payload_copy","资料卡/华为昇腾/封装/华为_Ascend950DT_封装资料卡.md","","registered_before_copy;expected=5cbe7d6169869ae94e355d1b90a1be0bf39fb1f6319b4cded7ca584ccca0e958"
"61","2026-08-13T09:42:07.4275796Z","commit_complete","payload_copy","资料卡/华为昇腾/封装/华为_Ascend950DT_封装资料卡.md","5cbe7d6169869ae94e355d1b90a1be0bf39fb1f6319b4cded7ca584ccca0e958","commit_index=10"
"62","2026-08-13T09:42:07.4380067Z","commit_begin","payload_copy","最小参考资料库/快照/华为/Ascend950/2026-08-13/huawei-connect-2025-ascend-roadmap-2026-08-13.html","","registered_before_copy;expected=8bf0f453e143562c7b5f3ead61f54a35da6020689dbc20aede772da0d00d7499"
"63","2026-08-13T09:42:07.6739077Z","commit_complete","payload_copy","最小参考资料库/快照/华为/Ascend950/2026-08-13/huawei-connect-2025-ascend-roadmap-2026-08-13.html","8bf0f453e143562c7b5f3ead61f54a35da6020689dbc20aede772da0d00d7499","commit_index=11"
"64","2026-08-13T09:42:07.6764447Z","commit_begin","payload_copy","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-processor-2026-08-13.html","","registered_before_copy;expected=33f477a551103a772c6e7e8b1ca24f3d17af590088927e7cbf0005e5a0ba7102"
"65","2026-08-13T09:42:07.7792572Z","commit_complete","payload_copy","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-processor-2026-08-13.html","33f477a551103a772c6e7e8b1ca24f3d17af590088927e7cbf0005e5a0ba7102","commit_index=12"
"66","2026-08-13T09:42:07.7812541Z","commit_begin","payload_copy","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-processor-950dt-2026-08-13.html","","registered_before_copy;expected=6bc823f2bf7328f8fa9838f6b7b7f6ee1cde23e9ccb8b41f0d9a4067e7706b07"
"67","2026-08-13T09:42:07.8889603Z","commit_complete","payload_copy","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-processor-950dt-2026-08-13.html","6bc823f2bf7328f8fa9838f6b7b7f6ee1cde23e9ccb8b41f0d9a4067e7706b07","commit_index=13"
"68","2026-08-13T09:42:07.8910241Z","commit_begin","payload_copy","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-accelerator-card-2026-08-13.html","","registered_before_copy;expected=3cfdeba7221d272ac307a3a2ca6404433804b9d6c7922677f56216bf24c4d978"
"69","2026-08-13T09:42:08.0329892Z","commit_complete","payload_copy","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-accelerator-card-2026-08-13.html","3cfdeba7221d272ac307a3a2ca6404433804b9d6c7922677f56216bf24c4d978","commit_index=14"
"70","2026-08-13T09:42:08.0355134Z","commit_begin","payload_copy","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-atlas350-launch-2026-08-13.html","","registered_before_copy;expected=bdf89863ce0321f24f6c42ebfebda09d62cfad3468ef953e1277f6bda240a9dd"
"71","2026-08-13T09:42:08.1376059Z","commit_complete","payload_copy","最小参考资料库/快照/华为/Ascend950/2026-08-13/hiascend-atlas350-launch-2026-08-13.html","bdf89863ce0321f24f6c42ebfebda09d62cfad3468ef953e1277f6bda240a9dd","commit_index=15"
"72","2026-08-13T09:42:36.4225472Z","commit_complete","transaction","","78956df9394146d39ded5e6e0740157e4ccd9cc50e44699ec6f8b8eca0ea1394","1057_writes_11_guards_125619_checks"
