"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"54","2026-08-13T07:39:35.2255832Z","rollback_begin","csv_restore","最小参考资料库/source-families.csv","4887c37c52a9069a4f8e698d674c293f1791843dbc56bb80e05029c7f76ab9de","reverse_index=15"
"55","2026-08-13T07:39:35.2552884Z","rollback_complete","csv_restore","最小参考资料库/source-families.csv","358869eac543ca7769129a0525834a366fb3abb5c3fba858b556bb414ed0b061","restored_premerge_backup"
"56","2026-08-13T07:39:35.2589439Z","rollback_begin","csv_restore","最小参考资料库/source-endpoints.csv","41b649261b6b2b6edf599942c3c0a425ec3d34c0dd0d72f199d97a576b53f579","reverse_index=14"
"57","2026-08-13T07:39:35.2881240Z","rollback_complete","csv_restore","最小参考资料库/source-endpoints.csv","644a9dc2249c717c7e16121d5164184bd5dd9804b9be4983019bb1ad48bc9f6f","restored_premerge_backup"
"58","2026-08-13T07:39:35.2921601Z","rollback_begin","csv_restore","最小参考资料库/source-coverage.csv","8095d6f326f2c9ecc7c6a15466e9d25b0358fa3efa78247a1eb7567dd8ac46b1","reverse_index=13"
"59","2026-08-13T07:39:35.3096508Z","rollback_complete","csv_restore","最小参考资料库/source-coverage.csv","88bf789e45a70271bab97a4f1d69034e675418bf340c82d01751d50f07e8ba21","restored_premerge_backup"
"60","2026-08-13T07:39:35.3190223Z","rollback_begin","csv_restore","最小参考资料库/selection-runs.csv","6bbd0536aa98bc01b4c1070246f4d47af259bdea30c1b9b5fd91b46536ffdfcb","reverse_index=12"
"61","2026-08-13T07:39:35.3380796Z","rollback_complete","csv_restore","最小参考资料库/selection-runs.csv","4397260840ab286e7d4274f963eb037eb70a2dfd951ac55d43fdd35aa85e7ee0","restored_premerge_backup"
"62","2026-08-13T07:39:35.3465810Z","rollback_begin","csv_restore","最小参考资料库/selection-members.csv","aa9178450695af39ef3af7d1d3edc1688ae414bfe3f193d8bb40bcea29d5f340","reverse_index=11"
"63","2026-08-13T07:39:35.3717113Z","rollback_complete","csv_restore","最小参考资料库/selection-members.csv","073cba4b5671f2273f75e99a355259444c7c28c2a2da4006b19535b3f030ce0b","restored_premerge_backup"
"64","2026-08-13T07:39:35.3767564Z","rollback_begin","csv_restore","最小参考资料库/search-results.csv","c5cdee5261d6f402594ba412ec8afc17d9c89a451cb927d6176d246135237875","reverse_index=10"
"65","2026-08-13T07:39:35.4047510Z","rollback_complete","csv_restore","最小参考资料库/search-results.csv","92aec74a85406ffa96c826348ffe298dba702639ecdf956160bf655db48cc40f","restored_premerge_backup"
"66","2026-08-13T07:39:35.4083377Z","rollback_begin","csv_restore","最小参考资料库/search-log.csv","2f3431b7ab2d2b3ee8196634ff53040a494ceb3c71c4c589e1ddb7cac169ceb6","reverse_index=9"
"67","2026-08-13T07:39:35.4350599Z","rollback_complete","csv_restore","最小参考资料库/search-log.csv","f7c501584f0b685b26aaaa913a9fd975e4d94474a9fac38b95d74fe0513bc23d","restored_premerge_backup"
"68","2026-08-13T07:39:35.4395781Z","rollback_begin","csv_restore","最小参考资料库/fact-assertions.csv","ab3b3cc61ee1befc17464d081af693f50ac8cc106f0f65b148540ff24254e41f","reverse_index=8"
"69","2026-08-13T07:39:35.4719824Z","rollback_complete","csv_restore","最小参考资料库/fact-assertions.csv","7066ed9c845dadb801047b9e4cbd2ea50f7af1c9f6d0836a9d5a5115d40fc92b","restored_premerge_backup"
